year,mon,mday,fog,rain,snow,snowfallm,snowfalli,snowdepthm,snowdepthi,hail,thunder,tornado,meantempm,meantempi,meandewptm,meandewpti,meanpressurem,meanpressurei,meanwindspdm,meanwindspdi,meanwdire,meanwdird,meanvism,meanvisi,humidity,maxtempm,maxtempi,mintempm,mintempi,maxhumidity,minhumidity,maxdewptm,maxdewpti,mindewptm,mindewpti,maxpressurem,maxpressurei,minpressurem,minpressurei,maxwspdm,maxwspdi,minwspdm,minwspdi,maxvism,maxvisi,minvism,minvisi,gdegreedays,heatingdegreedays,coolingdegreedays,precipm,precipi,precipsource
2001,01,01,0,0,0,,,,,0,0,0,14,56,12,53,1013.00,29.92,0,0,Variable,-1,4.1,2.6,91,16,60,11,51,100,82,13,55,10,50,1015,29.98,1012,29.89,0,0,0,0,6.0,3.7,2.5,1.6,6,10,0,0.0,0.00,3Or6HourObs
2001,01,02,1,0,0,,,,,0,0,0,11,52,9,48,1017.20,30.04,1,1,North,9,1.4,0.9,85,17,62,5,41,100,72,13,55,4,39,1019,30.09,1014,29.95,7,5,0,0,2.5,1.6,0.0,0.0,2,14,0,0.0,0.00,3Or6HourObs
2001,01,03,1,0,0,,,,,0,0,0,8,46,8,46,1019.12,30.09,5,3,WNW,286,0.8,0.5,94,10,50,5,41,100,87,9,48,4,39,1021,30.15,1018,30.06,11,7,0,0,1.4,0.9,0.0,0.0,0,20,0,0.0,0.00,3Or6HourObs
2001,01,04,0,0,0,,,,,0,0,0,10,50,8,47,1019.33,30.10,7,4,NW,311,2.1,1.3,88,13,55,7,44,100,77,10,50,5,41,1020,30.12,1018,30.06,15,9,0,0,2.8,1.7,1.6,1.0,0,16,0,0.0,0.00,3Or6HourObs
2001,01,05,1,0,0,,,,,0,0,0,8,47,7,45,1017.93,30.06,4,3,West,273,1.9,1.2,85,13,55,4,39,100,72,10,50,3,37,1020,30.12,1016,30.01,9,6,0,0,3.5,2.2,0.0,0.0,0,18,0,0.0,0.00,3Or6HourObs
2001,01,06,0,0,0,,,,,0,0,0,8,46,6,43,1019.11,30.09,4,3,ESE,110,1.6,1.0,86,12,53,4,39,93,72,8,46,3,37,1020,30.12,1018,30.06,9,6,0,0,1.8,1.1,1.6,1.0,0,19,0,0.0,0.00,3Or6HourObs
2001,01,07,0,0,0,,,,,0,0,0,7,44,5,41,1018.60,30.08,5,3,North,11,1.6,1.0,90,9,48,5,41,93,82,7,45,4,39,1019,30.09,1018,30.06,11,7,4,2,1.8,1.1,1.5,0.9,0,20,0,0.0,0.00,3Or6HourObs
2001,01,08,1,0,0,,,,,0,0,0,8,46,5,41,1016.18,30.01,2,1,WNW,290,1.9,1.2,79,14,57,2,35,100,63,8,46,2,36,1018,30.06,1015,29.98,7,5,0,0,3.0,1.9,0.5,0.3,0,19,0,0.0,0.00,3Or6HourObs
2001,01,09,1,0,0,,,,,0,0,0,10,48,5,40,1017.09,30.04,2,1,West,272,0.9,0.6,81,17,62,2,35,100,52,8,46,2,36,1019,30.09,1015,29.98,9,6,0,0,2.5,1.6,0.0,0.0,0,16,0,0.0,0.00,3Or6HourObs
2001,01,10,1,0,0,,,,,0,0,0,10,50,6,43,1016.75,30.03,2,1,West,273,1.3,0.8,78,16,60,4,39,93,59,8,46,3,37,1019,30.09,1015,29.98,7,5,0,0,2.0,1.2,0.0,0.0,0,16,0,0.0,0.00,3Or6HourObs
