year,mon,mday,fog,rain,snow,snowfallm,snowfalli,snowdepthm,snowdepthi,hail,thunder,tornado,meantempm,meantempi,meandewptm,meandewpti,meanpressurem,meanpressurei,meanwindspdm,meanwindspdi,meanwdire,meanwdird,meanvism,meanvisi,humidity,maxtempm,maxtempi,mintempm,mintempi,maxhumidity,minhumidity,maxdewptm,maxdewpti,mindewptm,mindewpti,maxpressurem,maxpressurei,minpressurem,minpressurei,maxwspdm,maxwspdi,minwspdm,minwspdi,maxvism,maxvisi,minvism,minvisi,gdegreedays,heatingdegreedays,coolingdegreedays,precipm,precipi,precipsource
2017,01,01,0,0,0,,,,,0,0,0,15,60,13,56,1017.85,30.06,1,0,Variable,-1,1.9,1.1,93,22,73,8,47,100,54,18,64,10,50,1020,30.12,1016,30.01,4,2,0,0,3.5,2.2,1.0,0.6,10,5,0,0.0,0.00,3Or6HourObs
2017,01,02,1,0,0,,,,,0,0,0,15,60,12,54,1019.45,30.10,1,1,ENE,70,2.6,1.5,90,23,73,7,46,100,43,18,64,8,46,1021,30.15,1018,30.06,9,6,0,0,6.0,3.7,0.5,0.0,10,6,0,0.0,0.00,3Or6HourObs
2017,01,03,0,0,0,,,,,0,0,0,14,58,14,57,1018.82,30.09,1,0,Variable,-1,1.8,1.1,94,21,70,8,47,100,64,18,64,10,50,1021,30.15,1017,30.03,6,4,0,0,3.5,2.2,1.0,0.6,8,6,0,0.0,0.00,3Or6HourObs
2017,01,04,1,0,0,,,,,0,0,0,16,61,14,58,1015.96,30.01,2,1,ENE,76,1.9,1.2,94,21,71,10,51,100,68,18,64,12,53,1018,30.06,1014,29.95,11,7,0,0,2.5,1.6,0.8,0.5,11,4,0,0.0,0.00,Precip6GroupSynop
2017,01,05,1,0,0,,,,,0,0,0,15,60,14,57,1014.69,29.97,1,1,Variable,-1,1.9,1.1,97,21,71,9,49,100,75,18,65,10,50,1017,30.04,1012,29.88,7,5,0,0,3.5,2.2,0.0,0.0,10,5,0,0.0,0.00,Precip6GroupSynop
2017,01,06,1,0,0,,,,,0,0,0,12,55,14,57,1012.13,29.89,5,3,SSE,147,1.1,0.7,100,15,60,10,50,100,98,16,61,12,54,1013,29.92,1011,29.85,22,14,0,0,2.0,1.2,0.5,0.0,5,10,0,0.0,0.00,3Or6HourObs
2017,01,07,0,0,0,,,,,0,0,0,12,55,13,55,1012.41,29.90,7,4,ESE,105,3.0,1.8,99,19,66,8,47,100,83,17,63,10,50,1015,29.98,1011,29.86,20,13,0,0,5.0,3.1,1.0,0.6,5,10,0,0.0,0.00,3Or6HourObs
2017,01,08,0,0,0,,,,,0,0,0,12,52,11,51,1016.62,30.03,2,1,North,3,3.1,1.9,98,17,62,6,42,100,88,15,59,7,45,1019,30.11,1014,29.95,11,7,0,0,5.0,3.1,2.0,1.0,2,13,0,0.0,0.00,3Or6HourObs
2017,01,09,0,0,0,,,,,0,0,0,10,51,6,43,1016.87,30.03,5,3,NW,308,3.5,2.2,81,18,64,3,38,100,34,11,52,3,37,1019,30.09,1016,30.01,18,12,0,0,5.0,3.1,2.0,1.0,1,14,0,0.0,0.00,3Or6HourObs
2017,01,10,0,0,0,,,,,0,0,0,8,48,3,38,1016.59,30.03,1,1,West,275,2.5,1.5,79,16,61,1,35,100,26,6,43,-0,31,1019,30.09,1015,29.98,11,7,0,0,5.0,3.1,2.0,1.0,0,17,0,0.0,0.00,3Or6HourObs
2017,01,11,0,0,0,,,,,0,0,0,8,48,4,39,1016.77,30.03,2,1,West,277,1.7,1.1,78,17,63,0,33,100,21,10,50,-1,30,1019,30.08,1015,29.98,11,7,0,0,2.5,1.6,1.0,0.6,0,17,0,0.0,0.00,3Or6HourObs
2017,01,12,0,0,0,,,,,0,0,0,8,48,4,39,1016.73,30.03,1,1,WNW,297,1.9,1.1,76,17,64,0,33,100,28,8,46,0,32,1018,30.08,1015,29.98,11,7,0,0,3.5,2.2,1.0,0.6,0,16,0,0.0,0.00,3Or6HourObs
2017,01,13,0,0,0,,,,,0,0,0,9,48,5,41,1017.79,30.06,2,1,WNW,289,2.4,1.4,81,17,64,1,33,100,32,8,46,2,36,1020,30.12,1016,30.01,15,9,0,0,3.5,2.2,1.0,0.6,0,16,0,0.0,0.00,3Or6HourObs
2017,01,14,0,0,0,,,,,0,0,0,8,47,6,42,1019.63,30.11,5,3,NW,320,2.2,1.3,81,14,58,2,36,100,42,10,50,4,39,1023,30.21,1017,30.04,32,20,0,0,3.5,2.2,1.0,0.6,0,18,0,0.0,0.00,3Or6HourObs
2017,01,15,0,1,0,,,,,0,1,0,14,56,8,46,1018.13,30.07,7,4,SE,127,4.1,2.5,71,20,69,7,44,100,24,12,54,3,37,1021,30.15,1016,30.00,161,100,0,0,6.0,3.7,2.0,1.0,6,8,0,5.0,0.20,Precip6GroupSynop
