|CROP NAME|GENERAL INFORMATION|SOIL INFORMATION
0| BARLEY (JOW)  |Barley (Hordeum vulgare L.) is generally called “Jau”. It is quite significant cereal after wheat, maize & rice. Barley is cultivated in summer season in temperate area while it is sown in winter seasons in tropical zones. In India it is planted in rabi season. It possesses excellent drought resistance capacity.|Barley plants are cultivated on significant number of soil such as sodic, light & saline soil. Although, it gives good result in moderately heavy loam to sandy soils having neutral to saline response as well as moderate fertility. Acidic soils are not suitable for barley cultivation.
1| MAIZE (KHARIF)   |Maize (Zea mays L) is second rated grain used collectively in form of foodstuff or fodder. Globally, maize is known as queen of cereals because it has highest genetic yield potential among the cereals. Grains provides food items which are consumed in the form of starch, corn flakes also glucose. It is also used as animal feed in poultry. Maize can be cultivated in any soil as they require less fertile soil and various chemicals. Moreover, it fetch less ripening span, 3 months, in comparison to paddy, which takes 145 days.|By growing maize, farmers can easily shield the deteriorating grade of soil , preserve 90% of water and 70% of potency as compared with paddy and can make more profit than wheat and paddy,” reported by vice chancellor, Punjab Agricultural University, Ludhiana. It serves as basic raw material to thousands of industrial products like oil, starch, alcoholic beverages etc. Uttar Pradesh, Rajasthan, Madhya Pradesh, Bihar, Himachal Pradesh, J & K and Punjab are major maize growing states. AP and Karnataka is major producer of maize in south.
2| MAIZE (RABI)   ||Maize (Zea mays L) is second rated grain that is used collectively in form of foodstuff or fodder. Globally, maize is known as queen of cereals because it has highest genetic yield potential among the cereals. Grains provides food items which are consumed in the form of starch, corn flakes also glucose. It is also used as animal feed in poultry. Maize can be cultivated in any soil as they require less fertile soil and various chemicals. Moreover, it fetch less ripening span, 3 months, in comparison to paddy, which takes 145 days.
3|By growing maize, farmers can easily shield the deteriorating grade of soil , preserve 90% of water and 70% of potency as compared with paddy and can make more profit than wheat and paddy,” reported by vice chancellor, Punjab Agricultural University, Ludhiana. It serves as basic raw material to thousands of industrial products like oil, starch, alcoholic beverages etc. Uttar Pradesh, Rajasthan, Madhya Pradesh, Bihar, Himachal Pradesh, J & K and Punjab are Major Maize growing states. AP and Karnataka is major producer of maize in south.||
4|Soil test is necessary to know deficiency of any nutrient in the soil.||
5| OATS  |Oats is an important Cereal crop as well as fodder crop. Cultivation of Oat is similar as wheat crop. It is mainly grown in Temperate and Subtropical climates. It can also thrive well in high-altitude tropics. They are very popular due to their health benefits. Oat meal is very famous food. Oats is rich in proteins and fiber. They also help in weight loss, controlling blood pressure and for building strong immune system.|It can be cultivated on all kinds of soil. Well drained loamy soil rich in organic matter is suitable for cultivation. pH range of 5 - 6.6 is optimum for oats.
6| RICE   |"Rice is the most important food crop of India covering about one-fourth of the total cropped area and providing food to about half of the Indian population. Punjab has made tremendous progress in rice productivity and production during the past 45 years. Due to use of high yielding varieties and new technology Punjab has given the title of ""Rice Bowl of India""."|It can be grown on a variety of soils with low permeability and pH varying from 5.0 to 9.5. Sandy loam to loamy sand to silty loam to clay loams, silty to clayey loam soils with low permeability, free of water logging and sodicity are considered best for paddy cultivation.
7| WHEAT (KANAK/GEHU)   ||Wheat is grown on 13 percent of the cropped area of India. Next to rice, wheat is the most important food-grain of India and is the staple food of millions of Indians, particularly in the northern and north-western parts of the country.                                                                                                                     
8|It is rich in proteins, vitamins and carbohydrates and provides balanced food. India is the fourth largest producer of wheat in the world after Russia, the USA and China and accounts for 8.7% of the world’s total production of wheat.||Soils with a clay loam or loam texture, good structure and moderate water holding capacity are ideal for wheat cultivation. Heavy soil with good drainage is suitable for wheat cultivation under dry conditions.
9| WHEAT (KANAK/GEHU)   ||
10| COTTON    |Cotton is one of the most important fibre and cash crop of India as well as of entire world. It plays a dominant role in the industrial and agricultural economy of the country. It provides the basic raw material to cotton textile industry. In India it provides direct livelihood to 6 million farmers and about 40-50 million people are employed in cotton trade and its processing. Cotton is a water thirsty crop and around 6% of the water for irrigation in is used for its cultivation. In India, it is grown on a large scale in Maharashtra, Gujarat, Karnataka, Madhya Pradesh, Punjab, Rajasthan, Haryana, Tamil Nadu and Uttar Pradesh. Gujarat is the largest producer of cotton followed by Maharashtra and Punjab. It is vital kharif crop of Punjab. The average lint yield of the State is around 697 kg per hectare.|It can be grown on all type of soil having pH ranges in-between 6 and 8. Deep, friable, well drained and fertile soil are good for crop cultivation. Sandy, saline or water logged soils are not suitable for cotton cultivation. The depth of soil should not be less than 20-25 cm.
11| COTTON    ||
12| BAJRA NAPIER HYBRID   |Bajra or pearl millets is grown for grain as well as for fodder purpose whereas Napier or elephant grass is mainly cultivated as forage crop. Napier-bajra is hybridization between bajra and elephant grass. This hybrid increases number of tillers thus yield, quality of forage also minimize risk of becoming weed in case of napier. After plantation, it give yield continuously upto 2-3 years.|It can cultivate on various soil but gives best result when grown on heavy soils having high nutrient fertility. It is tolerant to mild salinity. Avoid water logged soils for cultivation of napier bajra hybrid.
13| BERSEEM    |Berseem is a fast growing, high quality forage that is mainly cut and fed as green chopped forage. Flowers are yellowish-white in color. Berseem can be sown alone or in combination with other species. It is mixed with grass (ryegrass) or with a winter cereal crop such as oats to make high quality silage.|This crop gives best result when grown in Medium to heavy soil. It can be grown on sandy loam soil but it requires frequent irrigations. It improves physical, chemical and biological properties of soil and thus improves its fertility status.
14| FINGER MILLET   |It is known as finger millet, African finger millet, red millet and ragi, are the oldest food and first cereal grain used for domestic purpose. Finger millet is originally native to the Ethiopian highlands and was introduced into India approximately 4000 years ago. They can be grown in dry weather; can withstand severe drought conditions and adaptable to higher elevations. These are short duration, ready to harvest as little in 65 day and can be easily grown throughout the year. It is highly grown crops among all small millets. It is rich source of protein and minerals in comparison to all other cereals and millets. It contains important amino acids. It has the highest amount of calcium (344 mg) and potassium (408 mg). It is beneficial for individuals with low haemoglobin levels as it is great source of iron.| 
15| GUAR   |Guar is an important legume crop. It is cultivated for fodder as well as for grain purpose. Also it is used as vegetable and green manure crop. It is drought tolerant crop and also thrives in semi-arid regions. Gaur gum is extracted from gaur beans (endosperm of seed) has several industrial uses. It is used to make gum powder which is used in Oil extraction industry, food processing and preservation, printing, textile and paper industry.| It can be grown on all type of soils. It gives best result when grown on well drained sandy loam soils.
16| GUINEA GRASS   |The botanical name of Guinea grass is Megathyrsus maximus. It is used as fodder for animals and is used to make hay. It is a tall perennial grass with average height of 3-4 m. The leaf blades have fine tip and is long and have midrib which is 1 cm wide. Seed heads are 40 cm long, oblong shape and are greenish purple in color.  It is found in tropical Africa, Yemen, Palestine and India. In India, Punjab is the major guinea grass growing state.   |It is grown in variety of soils ranging from moist, damp and fertile soils. It gives best result when grown under deep soil having well drainage system.  Avoid cultivation in heavy clayey and water logged soils. Light irrigation is good for crop growth.
17| LUCERNE    |"Lucerne also known as ""alfalfa"" or ""rijka"" in northen India is a protein rich fodder and considered as ""queen of fodder crop"". It is a perennial plant and can supply fodder for 3-4 year in same growing. Along with protein, it is also major source of mineral and calcium. It is a palatable green fodder contain 16-25% of crude protein and 20-30% of fibre. Lucerne is native of South-West Asia. It is a hardy leguminous crop and can survive in drought conditions. It can be easily converted into silage and hay. It is winter season crop and mainly cultivated in Gujarat, Madhya Pradesh, Maharashtra and Rajasthan. In one season 7 to 8 cutting can be taken with average fodder yield of 280 to 320 qtl/acre.  "|It can be cultivated on variety of soils but it gives best result when grown on deep and well drained loamy soils. Avoid waterlogged, alkaline and heavy soils for its cultivation.   
18| SENJI HYBRID   |Senji or Indian sweet clover is important forage legume crop. Its yellow and white variety is used for fodder purpose. It contains 60% of digestion nutrients and 16.57% crude protein.|It can be grown on variety of soil but gives best results when grown on loamy to heavy soils.
19| SHAFTAL   |Shaftal are also known as bhukal. These are very highly nutritious leguminous fodder. It is liked by all the animals. It is a late season growing crop. It is mainly used to mix with oats and ryegrass to elevate productivity.|Shaftal is suited to most soil types from sandy loams through to heavy clay soils.
20| SORGHUM  |Sorghum is considered to be originated in Northern Africa or at the Egyptian-Sudanese border 5,000-8,000 years ago. It is third major food grain crops of India. It is used as fodder crop and also as industrial raw material in various industries in the USA and other country. USA is the largest producer of sorghum. In India Maharashtra, Andhra Pradesh, Karnataka, Madhya Pradesh, Gujarat, Tamil Nadu, Rajasthan and Uttar Pradesh are the important sorghum growing states. In Punjab, Sorghum is an important fodder crop during kharif season.| It grows on wide range of soil but sandy loam soil with good drainage is suitable for cultivation. pH of 6 to 7.5 is ideal for cultivation and better growth.
21| TEOSINTE   |The botanical name of Teosinte is Euchaleanamaxicana and it is commonly known as Makchari. It is a succulent fodder with average height of 6-10feet. The leaves are taller and broader. The plant has lateral branches which is too long. Female inflorescence which is also known as ‘ear’ possesses 5-12 kernels. It is native to Mexico and Central America. In India, Punjab is the major Teosinte growing state. It provides fodder mainly in the month of November and it remains green for longer time.|It is grown in variety of soils ranging from loam to sandy loam soil. It gives best result when grown in rich heavy soil. Avoid cultivation in light sandy soils as it affects the crop growth. For good growth it requires pH ranging from 5.8-7.0.
22| TEOSINTE   ||
23| COWPEA    |Cow pea is oldest annual legume grown throughout India for green pods, dry seeds, green manure and fodder. It is considered as crop of African origin. It is drought hardy crop also quick growing thus supressed weeds during initial stage. It also help to conserved soil and moisture. Cowpea is a good source of protein, calcium and iron. It is cultivated in irrigated areas of Punjab.|It can be grown in variety of soils but gives best result when grown on well drained loamy soils.
24| DHAINCHA    |It is a generally used as green manure crop. It can be grown on all season having sufficient moisture in soil. It not only improve physical properties but also helps in meeting nitrogen requirement of succeeding crop.|It can be grown on all type of soil. It gives best results when grow in sandy loam to loamy soils.
25| MESTA   |Mesta is herbaceous annual plant. It is an important commercial crop after cotton and Jute. Its origin lies in Afro-Asian countries. Stem or bark of plant is used for fibre production. Hibiscus cannabinus and Hibiscus sabdariffa are two species commonly name as Mesta. Hibiscus Sabdariffa is drought resistant variety where as in areas of rainfall of 50-90 mm canabiscus grow well as it is short duration variety. Maharashtra, Andhra Pradesh, West Bengal, Bihar, Orissa, Meghalaya, Karnataka and Tripura are major mesta growing states.|Mesta can be grown on variety of soil. It gives best result when grown on rich loamy soils. Acidic soil and waterlogging soils are not suitable for mesta cultivation. It can be grown on soils having pH 4.5-7.8.
26| SUNHEMP   | Sunhemp is quick growing leguminous crop cultivated for green manure as well as fibre crop. When it is mix well in soils, it prevents leaching and loss of nutrients, also conserved soil moisture. Sunhemp is originated in India. It can be grown in adverse climatic conditions of drought, alkalinity and salinity. In India it is cultivated in all the states. Maharashtra, Madhya Pradesh, Bihar, Rajasthan, Orissa and Uttar Pradesh are major sunhemp growing states for mainly for fibre purpose.| It can be cultivated in all type of well-drained soil. Well drained sandy loam or loamy soil having sufficient moisture holding capacity are suitable for sunhemp grown for fibre purpose.
27| SUNHEMP   ||
28| GROUNDNUT   ||"Groundnut is a significant oilseed, ideal for cultivation in tropic regions of the country. Groundnut (Arachis hypogaea), is a species in the legume or ""bean"" family. It is considered to be local in South America. These are known by many other local names such as earthnuts, ground nuts, goober peas, monkey nuts, pygmy nuts and peanuts. Despite its name and appearance, the peanut is not a nut, but rather a legume."
